Year,All Reported Crimes,Murder,Attempt to Murder,Kidnapping/ Abduction,Dacoity,Robbery,Burglary,Cattle Theft,Other Theft,Others
2010,652383,13208,15478,18556,4727,21907,16638,8373,37878,515618
2011,67375,1386,15496,19806,498,20632,18195,9345,42223,529213
2012,6469,13846,15338,20194,4259,17081,17638,9046,40102,509396
2013,634404,13937,14648,19472,4053,17363,17053,7743,37751,502384
2014,627116,13276,14499,187,3516,18107,17153,7459,35288,499118
2015,6336,9486,11336,17922,2329,15164,15878,6502,324,522583
2016,677554,8516,10279,18057,1636,13088,14572,6068,3432,571018
2017,683925,8235,9499,18363,128,12458,13833,5342,37304,577611
2018,703481,8241,10067,2006,1414,14914,14646,6233,39418,588488
2019,786339,8153,10438,20256,1382,18239,16124,7793,55836,648118
2020,87643,849,11797,19658,132,19904,16474,8649,10436,685778
