ds,Predicted Cases,Crime Type
2010-01-01,343653.73316999996,All Reported Crimes
2011-01-01,364590.5677935501,All Reported Crimes
2012-01-01,385527.4024771462,All Reported Crimes
2013-01-01,406521.5983599551,All Reported Crimes
2014-01-01,427458.4330968188,All Reported Crimes
2015-01-01,448395.2677721333,All Reported Crimes
2016-01-01,469332.10245269135,All Reported Crimes
2017-01-01,490326.29827662784,All Reported Crimes
2018-01-01,511263.1328952271,All Reported Crimes
2019-01-01,532199.9675138263,All Reported Crimes
2020-01-01,553136.8021324257,All Reported Crimes
2020-12-31,574073.636751025,All Reported Crimes
2021-12-31,595010.4713696244,All Reported Crimes
2022-12-31,615947.3059882235,All Reported Crimes
2023-12-31,636884.1406068228,All Reported Crimes
2024-12-31,657878.336416158,All Reported Crimes
2010-01-01,12068.257355,Murder
2011-01-01,11456.873736822288,Murder
2012-01-01,10845.490118524387,Murder
2013-01-01,10232.431476851425,Murder
2014-01-01,9621.047858585764,Murder
2015-01-01,9009.664240004644,Murder
2016-01-01,8398.280621184143,Murder
2017-01-01,7785.2219788650755,Murder
2018-01-01,7173.8383603029615,Murder
2019-01-01,6562.454741740848,Murder
2020-01-01,5951.071123178733,Murder
2020-12-31,5339.687504616618,Murder
2021-12-31,4728.303886054504,Murder
2022-12-31,4116.92026749239,Murder
2023-12-31,3505.5366489302764,Murder
2024-12-31,2892.4780067556635,Murder
2010-01-01,15754.31832,Attempt to Murder
2011-01-01,15129.01460097481,Attempt to Murder
2012-01-01,14503.71088179938,Attempt to Murder
2013-01-01,13876.694001074999,Attempt to Murder
2014-01-01,13251.39028240694,Attempt to Murder
2015-01-01,12626.086563450765,Attempt to Murder
2016-01-01,12000.78284581424,Attempt to Murder
2017-01-01,11373.765973218362,Attempt to Murder
2018-01-01,10748.462262051096,Attempt to Murder
2019-01-01,10123.15855088383,Attempt to Murder
2020-01-01,9497.854839716563,Attempt to Murder
2020-12-31,8872.551128549296,Attempt to Murder
2021-12-31,8247.24741738203,Attempt to Murder
2022-12-31,7621.9437062147645,Attempt to Murder
2023-12-31,6996.639995047498,Attempt to Murder
2024-12-31,6369.623123027717,Attempt to Murder
2010-01-01,17267.693088,Kidnapping/ Abduction
2011-01-01,16985.057991745893,Kidnapping/ Abduction
2012-01-01,16702.422896822798,Kidnapping/ Abduction
2013-01-01,16419.01345969328,Kidnapping/ Abduction
2014-01-01,16136.37836488884,Kidnapping/ Abduction
2015-01-01,15853.743270555366,Kidnapping/ Abduction
2016-01-01,15571.108176834397,Kidnapping/ Abduction
2017-01-01,15287.698741604692,Kidnapping/ Abduction
2018-01-01,15005.063648004303,Kidnapping/ Abduction
2019-01-01,14722.428554403916,Kidnapping/ Abduction
2020-01-01,14439.793460803527,Kidnapping/ Abduction
2020-12-31,14157.158367203137,Kidnapping/ Abduction
2021-12-31,13874.523273602748,Kidnapping/ Abduction
2022-12-31,13591.88818000236,Kidnapping/ Abduction
2023-12-31,13309.253086401972,Kidnapping/ Abduction
2024-12-31,13025.843650079389,Kidnapping/ Abduction
2010-01-01,3893.327372,Dacoity
2011-01-01,3552.468184657448,Dacoity
2012-01-01,3211.608997259723,Dacoity
2013-01-01,2869.815949250653,Dacoity
2014-01-01,2528.956762196147,Dacoity
2015-01-01,2188.097575146195,Dacoity
2016-01-01,1847.2383879783035,Dacoity
2017-01-01,1505.4453399604115,Dacoity
2018-01-01,1164.5861527660488,Dacoity
2019-01-01,823.7269655716867,Dacoity
2020-01-01,482.867778377324,Dacoity
2020-12-31,142.00859118296128,Dacoity
2021-12-31,-198.85059601140145,Dacoity
2022-12-31,-539.7097832057641,Dacoity
2023-12-31,-880.5689704001259,Dacoity
