Year,All Reported Crimes,Murder,Attempt to Murder,Kidnapping/ Abduction,Dacoity,Robbery,Burglary,Cattle Theft,Other Theft,Others,Calculated Total,Data Consistency
2010,652383.0,13208.0,15478.0,18556.0,4727.0,21907.0,16638.0,8373.0,37878.0,515618.0,652383.0,0.0
2011,673750.0,13860.0,15496.0,19806.0,4980.0,20632.0,18195.0,9345.0,42223.0,529213.0,673750.0,0.0
2012,6469.0,13846.0,15338.0,20194.0,4259.0,17081.0,17638.0,9046.0,40102.0,509396.0,646900.0,640431.0
2013,634404.0,13937.0,14648.0,19472.0,4053.0,17363.0,17053.0,7743.0,37751.0,502384.0,634404.0,0.0
2014,627116.0,13276.0,14499.0,18700.0,3516.0,18107.0,17153.0,7459.0,35288.0,499118.0,627116.0,0.0
2015,6336.0,9486.0,11336.0,17922.0,2329.0,15164.0,15878.0,6502.0,324.0,522583.0,601524.0,595188.0
2016,677554.0,8516.0,10279.0,18057.0,1636.0,13088.0,14572.0,6068.0,3432.0,571018.0,646666.0,30888.0
2017,683925.0,8235.0,9499.0,18363.0,1280.0,12458.0,13833.0,5342.0,37304.0,577611.0,683925.0,0.0
2018,703481.0,8241.0,10067.0,20060.0,1414.0,14914.0,14646.0,6233.0,39418.0,588488.0,703481.0,0.0
2019,786339.0,8153.0,10438.0,20256.0,1382.0,18239.0,16124.0,7793.0,55836.0,648118.0,786339.0,0.0
2020,876430.0,8490.0,11797.0,19658.0,1320.0,19904.0,16474.0,8649.0,104360.0,685778.0,876430.0,0.0
